"id","author","title","year","file","genres","barcode"
279,"Friedman, V. et. al.","#3 1/3 The Smashing Book Extension: Redesign the Web",2012,"","Web Development",279
106,"Vaynerchuk, G.","#AskGaryVee: One Entrepeneur's take on Leadership, Social Media & Self Awareness",2016,"","Leadership,Management",9780062273123\

146,"Amoruso, S.","#Girlboss",2014,"","Personal Development",9780241217931\

107,"Wagner. R","12: The Elements of Great Managing",2006,"","Leadership,Management",9781595629982\

294,"Hemsath, D. & Yerkes, L.","301 Ways to Have Fun at Work",1997,"","Misc",9781576750193\

240,"Bronson, G.","A First Book of ANSI C",2001,"","Misc Software",9780534379643\

129,"Koetler, P. & Keller, K.","A Framework for Marketing Management",2012,"","Marketing & Sales",9780132539302\

248,"McFedries, P.","Absolute Beginners Guide to VBA",2004,"","Misc Software",2120789730764\

253,"Snook, J.","Accelerated DOM Scripting with Ajax, APIs, and Libraries",2007,"","Misc Software",9781590597644\

295,"Horngren, I.","Accounting",2001,"","Misc",295
292,"Graaf, J, Wann, D & Naylor, T.","Affluenza",2014,"","Misc",292
204,"Martin, R. & Martin, M.","Agile Principles, Patterns and Practices in C#",2007,"","C# & .Net",9780131857254
130,"Layton, M.","Agile Project Management for Dummies",2012,"","Marketing & Sales",130
18,"Clark, D.","Alibaba: The House that Jack Ma Built",2016,"","Business Strategy",18
205,"Perry, S.","Aliens-La Ruche Terrestre",1999,"","C# & .Net",205
258,"Witting, A & Witting, M.","Amazon Web Services In Action",2016,"","Misc Software",258
13,"Cairnes, M.","Approaching the Corporate Heart: Breaking Through to New Horizons of Personal and Professional Success",2003,"","Business Strategy",13
213,"Haishi, B. , Maier S. & Stolts D.","Architecting Microsoft Azure Solutions Exam Ref 70-534",2016,"","C# & .Net",213
299,"Latimer, P.","Australian Business Law",2003,"","Misc",299
261,"n/a","AWS Administration",0,"","Misc Software",261
116,"Weinberg, Gerald.","Becoming A Technical Leader - An Organic Problem Solving Approach",1986,"","Leadership,Management",116
223,"Gilmore, J.","Beginning PHP 5 and MySQL",2004,"","PHP",9781893115514\

232,"Mueller, John Paul.","Beginning Programming With Python",0,"","Python",232
195,"Gladwell, M.","Blink: The Power of Thinking without Thinking",2005,"","Productivity",195
127,"Kim, W. & Mauborgne, R.","Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant",2005,"","Marketing & Sales",9781591396192\

134,"Port, M.","Book Yourself Solid: The Fastest, Easiest and Most Reliable System for Getting More Clients Than You Can Handle Even if You Hate Marketing and Selling",2011,"","Marketing & Sales",134
219,"n/a","Bootstrap by example",2016,"","CSS",219
91,"Lam, P.","Born Strong",2015,"","Leadership,Management",91
156,"Gordan, E.","Brain Revolution",2016,"","Personal Development",156
171,"Medina, J","Brain Rules - 12 Principles for Surviving and Thriving at Work, Home, and School",2014,"","Personal Development",171
289,"Brooks, J.","Business Adventures: Twelve Classic Tales from the World of Wall Street",2014,"","Misc",9781497644892\

46,"Mulvey, P., McGoey, K., Kupersmith, K.","Business Analysis for Dummies",2013,"","Business Strategy",9781118510582\

59,"Yayici, E.","Business Analyst's Mentor Book",2013,"","Business Strategy",59
200,"Bishop, J.","C# 3.0 Design Patterns",2008,"","C# & .Net",200
215,"Sempf, B., Sphar, C., Randy Davis, S.","C# 5.0 All-In-One For Dummies",0,"","C# & .Net",215
306,"Dearin, C.","Camels, Sheikhs and Billionaires",2015,"","Misc",306
247,"Kelly, A.","Changing Software Development: Learning to Become Agile",2008,"","Misc Software",247
3,"Martinez, A","Chaos Monkeys; Obscene fortune and random failure in Silicon Valley",2016,"","Biography,Autobiography",3
